U/V,I/mA
13.07,13.16
13.02,14.3
12.95,15.1
12.89,15.93
12.85,16.61
12.8,17.55
12.77,18.14
12.74,18.77
12.71,19.39
12.678,20.04
12.64,20.76
12.6,21.84
12.57,22.34
12.53,23.09
12.5,23.66
12.48,24.33
12.44,25.54
12.4,26.09
12.37,27.27
12.31,28.74
12.27,29.86
12.22,30.87
12.18,32.55
12.13,33.77
12.07,35.66
12.01,36.89
11.95,38.64
11.87,40.8
11.78,42.53
11.66,44.93
11.46,46.84
10.98,48.16
9.91,48.39
9.08,48.63
8.13,48.84
7.28,48.9
6.38,49.32
5.32,49.81
3.62,51.01
2.41,52.41
1.3,54.07
0.08,56.25
